Date,AAPL,ABBV,AMZN,BA,BAC,BRK-B,CVX,DIS,GOOGL,HD,JNJ,JPM,KO,MA,META,MRK,MSFT,NFLX,NVDA,PEP,PFE,PG,TSLA,WMT,XOM
2025-03-21,217.3227996826172,203.193603515625,196.2100067138672,178.11000061035156,41.5357666015625,521.9099731445312,157.65521240234375,98.3720932006836,163.42333984375,342.4927673339844,159.19454956054688,236.77499389648438,66.73542785644531,532.61474609375,594.3956298828125,89.84619903564453,388.2874450683594,96.02899932861328,117.6722640991211,139.84811401367188,24.501516342163086,162.23776245117188,248.7100067138672,85.2237777709961,111.663330078125
2025-03-24,219.7721405029297,202.38088989257812,203.25999450683594,180.89999389648438,42.1225700378418,525.8499755859375,157.91358947753906,99.08421325683594,167.1005859375,354.8016357421875,158.86373901367188,243.07582092285156,67.00753784179688,540.5488891601562,616.9252319335938,89.07423400878906,390.09356689453125,97.1989974975586,121.38140106201172,140.80960083007812,24.370988845825195,161.2255401611328,278.3900146484375,86.72048950195312,111.95336151123047
2025-03-25,222.77903747558594,194.80502319335938,205.7100067138672,182.58999633789062,42.32794952392578,528.8699951171875,158.79397583007812,100.49857330322266,169.97064208984375,352.0901794433594,156.65528869628906,246.08413696289062,66.8714828491211,542.0303344726562,624.3621215820312,84.78987884521484,392.1578063964844,99.72799682617188,120.66156768798828,139.9346466064453,23.8209171295166,158.50033569335938,288.1400146484375,84.0145034790039,112.71710968017578
2025-03-26,220.5686492919922,194.76634216308594,201.1300048828125,178.5500030517578,41.87806701660156,533.2100219726562,160.73654174804688,99.67765045166016,164.4896240234375,353.20208740234375,157.33631896972656,245.9861297607422,68.04739379882812,545.91796875,609.0797729492188,85.0214614868164,387.0072326660156,97.06500244140625,113.73320007324219,142.91525268554688,23.503929138183594,162.13070678710938,272.05999755859375,84.46054077148438,114.34130859375
2025-03-27,222.8785858154297,196.14024353027344,201.36000061035156,179.11000061035156,41.6237907409668,534.52001953125,159.47340393066406,99.35125732421875,161.6793975830078,353.78729248046875,158.70811462402344,243.13458251953125,68.74710845947266,554.369140625,600.7059326171875,84.52933502197266,387.612548828125,97.6719970703125,111.40375518798828,143.90557861328125,23.31746482849121,164.2038116455078,273.1300048828125,84.87684631347656,113.97393035888672
2025-03-28,216.9544219970703,198.62681579589844,192.72000122070312,173.30999755859375,40.34260940551758,526.3099975585938,158.93751525878906,96.9972915649414,153.7967071533203,349.3201904296875,159.2723846435547,237.9705047607422,68.38754272460938,537.5064086914062,574.9462890625,86.10221099853516,375.922119140625,93.38500213623047,109.6441650390625,143.52099609375,23.503929138183594,163.54197692871094,263.54998779296875,84.40106964111328,113.81925201416016
2025-03-31,221.1660614013672,202.7195281982422,190.25999450683594,170.5500030517578,40.812049865722656,532.5800170898438,160.0858154296875,97.62039947509766,154.10565185546875,357.45452880859375,161.34461975097656,240.37127685546875,69.60232543945312,544.9734497070312,574.5674438476562,86.61363220214844,372.5379943847656,93.25299835205078,108.35446166992188,144.16519165039062,23.62512969970703,165.86813354492188,259.1600036621094,87.01785278320312,114.9793930053711
2025-04-01,222.22146606445312,199.57501220703125,192.1699981689453,168.1699981689453,40.577327728271484,532.989990234375,161.2532958984375,96.61156463623047,156.52725219726562,356.5085144042969,149.0959014892578,238.76422119140625,69.84528350830078,545.3611450195312,584.1775512695312,84.06616973876953,379.2863464355469,92.83799743652344,110.1240463256836,143.90557861328125,22.879274368286133,166.00439453125,268.4599914550781,88.04869842529297,115.08573913574219
2025-04-02,222.91842651367188,198.53004455566406,196.00999450683594,168.55999755859375,40.929405212402344,537.719970703125,159.30116271972656,96.80936431884766,156.49734497070312,361.7461242675781,151.14869689941406,240.88082885742188,69.32049560546875,544.2376098632812,582.114013671875,83.56439208984375,379.2367248535156,93.552001953125,110.39398193359375,143.3767547607422,23.028444290161133,164.9727020263672,282.760009765625,88.97052001953125,114.72802734375
2025-04-03,202.30825805664062,195.09527587890625,178.41000366210938,150.91000366210938,36.4012565612793,530.1599731445312,149.3968505859375,87.86824798583984,150.19918823242188,347.13543701171875,155.48782348632812,224.0950164794922,71.11837005615234,527.5042114257812,529.9666137695312,83.36175537109375,370.2752990722656,91.70500183105469,101.77601623535156,145.5401153564453,22.646188735961914,167.7855224609375,267.2799987792969,86.49251556396484,108.69530487060547
