,Nifty50,SP500,USDINR,US_Bond_Yield,India_Bond_Yield
2025-08-04,24722.75,6329.93994140625,87.24530029296875,4.22,6.522
2025-08-05,24649.55078125,6299.18994140625,87.89330291748047,4.22,6.522
2025-08-06,24574.19921875,6345.06005859375,87.72309875488281,4.22,6.522
2025-08-07,24596.150390625,6340.0,87.76249694824219,4.23,6.522
2025-08-08,24363.30078125,6389.4501953125,87.43319702148438,4.27,6.522
2025-08-11,24585.05078125,6373.4501953125,87.48829650878906,4.27,6.522
2025-08-12,24487.400390625,6445.759765625,87.66449737548828,4.29,6.522
2025-08-13,24619.349609375,6466.580078125,87.59559631347656,4.24,6.522
2025-08-14,24631.30078125,6468.5400390625,87.44999694824219,4.29,6.522
2025-08-15,24631.30078125,6449.7998046875,87.69180297851562,4.33,6.522
2025-08-18,24876.94921875,6449.14990234375,87.51280212402344,4.34,6.522
2025-08-19,24980.650390625,6411.3701171875,87.29509735107422,4.3,6.522
2025-08-20,25050.55078125,6395.77978515625,87.0791015625,4.29,6.522
2025-08-21,25083.75,6370.169921875,87.01820373535156,4.33,6.522
2025-08-22,24870.099609375,6466.91015625,87.29340362548828,4.26,6.522
2025-08-25,24967.75,6439.31982421875,87.3301010131836,4.28,6.522
2025-08-26,24712.05078125,6465.93994140625,87.60859680175781,4.26,6.522
2025-08-27,24712.05078125,6481.39990234375,87.60070037841797,4.24,6.522
2025-08-28,24500.900390625,6501.85986328125,87.65910339355469,4.22,6.522
2025-08-29,24426.849609375,6460.259765625,87.5916976928711,4.23,6.522
2025-09-01,24625.05078125,6460.259765625,88.17430114746094,4.23,6.585
2025-09-02,24579.599609375,6415.5400390625,88.00140380859375,4.28,6.585
2025-09-03,24715.05078125,6448.259765625,87.99829864501953,4.22,6.585
2025-09-04,24734.30078125,6502.080078125,88.072998046875,4.17,6.585
2025-09-05,24741.0,6481.5,88.19290161132812,4.1,6.585
2025-09-08,24773.150390625,6495.14990234375,88.1863021850586,4.05,6.585
2025-09-09,24868.599609375,6512.60986328125,87.98049926757812,4.08,6.585
2025-09-10,24973.099609375,6532.0400390625,88.21829986572266,4.04,6.585
2025-09-11,25005.5,6587.47021484375,88.05339813232422,4.01,6.585
2025-09-12,25114.0,6584.2900390625,88.2676010131836,4.06,6.585
2025-09-15,25069.19921875,6615.27978515625,88.27729797363281,4.05,6.585
2025-09-16,25239.099609375,6606.759765625,88.12349700927734,4.04,6.585
2025-09-17,25330.25,6600.35009765625,87.88459777832031,4.06,6.585
2025-09-18,25423.599609375,6631.9599609375,87.91069793701172,4.11,6.585
2025-09-19,25327.05078125,6664.35986328125,88.20690155029297,4.14,6.585
2025-09-22,25202.349609375,6693.75,88.09919738769531,4.15,6.585
2025-09-23,25169.5,6656.919921875,88.30439758300781,4.12,6.585
2025-09-24,25056.900390625,6637.97021484375,88.80799865722656,4.16,6.585
2025-09-25,24890.849609375,6604.72021484375,88.77860260009766,4.18,6.585
2025-09-26,24654.69921875,6643.7001953125,88.77310180664062,4.2,6.585
2025-09-29,24634.900390625,6661.2099609375,88.67680358886719,4.15,6.585
2025-09-30,24611.099609375,6688.4599609375,88.70449829101562,4.16,6.585
2025-10-01,24836.30078125,6711.2001953125,88.8406982421875,4.12,6.482
2025-10-02,24836.30078125,6715.35009765625,88.68299865722656,4.1,6.482
2025-10-03,24894.25,6715.7900390625,88.72019958496094,4.13,6.482
2025-10-06,25077.650390625,6740.27978515625,88.73509979248047,4.18,6.482
2025-10-07,25108.30078125,6714.58984375,88.72109985351562,4.14,6.482
2025-10-08,25046.150390625,6753.72021484375,88.74259948730469,4.13,6.482
2025-10-09,25181.80078125,6735.10986328125,88.7771987915039,4.14,6.482
2025-10-10,25285.349609375,6552.509765625,88.86540222167969,4.05,6.482
2025-10-13,25227.349609375,6654.72021484375,88.7573013305664,4.05,6.482
2025-10-14,25145.5,6644.31005859375,88.66510009765625,4.03,6.482
2025-10-15,25323.55078125,6671.06005859375,88.78250122070312,4.05,6.482
2025-10-16,25585.30078125,6629.06982421875,87.80950164794922,3.99,6.482
2025-10-17,25709.849609375,6664.009765625,87.9906997680664,4.02,6.482
2025-10-20,25843.150390625,6735.1298828125,88.0022964477539,4.0,6.482
2025-10-21,25868.599609375,6735.35009765625,87.87999725341797,3.98,6.482
2025-10-22,25868.599609375,6699.39990234375,88.00160217285156,3.97,6.482
2025-10-23,25891.400390625,6738.43994140625,87.74030303955078,4.01,6.482
2025-10-24,25795.150390625,6791.68994140625,87.77899932861328,4.02,6.482
2025-10-27,25966.05078125,6875.16015625,87.8290023803711,4.01,6.482
2025-10-28,25936.19921875,6890.89013671875,88.22209930419922,3.99,6.482
2025-10-29,26053.900390625,6890.58984375,88.22550201416016,4.08,6.482
2025-10-30,25877.849609375,6822.33984375,88.34559631347656,4.11,6.482
2025-10-31,25722.099609375,6840.2001953125,88.6344985961914,4.11,6.482
2025-11-03,25763.349609375,6851.97021484375,88.77539825439453,4.13,6.5375
2025-11-04,25597.650390625,6771.5498046875,88.72339630126953,4.1,6.5375
2025-11-05,25597.650390625,6796.2900390625,88.73200225830078,4.17,6.5375
2025-11-06,25509.69921875,6720.31982421875,88.55690002441406,4.11,6.5375
2025-11-07,25492.30078125,6728.7998046875,88.6729965209961,4.11,6.5375
2025-11-10,25574.349609375,6832.43017578125,88.65799713134766,4.13,6.5375
2025-11-11,25694.94921875,6846.60986328125,88.70709991455078,4.13,6.5375
2025-11-12,25875.80078125,6850.919921875,88.46649932861328,4.08,6.5375
2025-11-13,25879.150390625,6737.490234375,88.59400177001953,4.11,6.5375
2025-11-14,25910.05078125,6734.10986328125,88.81610107421875,4.14,6.5375
2025-11-17,26013.44921875,6672.41015625,88.68199920654297,4.13,6.5375
2025-11-18,25910.05078125,6617.31982421875,88.63590240478516,4.12,6.5375
2025-11-19,26052.650390625,6642.16015625,88.55680084228516,4.13,6.5375
2025-11-20,26192.150390625,6538.759765625,88.48719787597656,4.1,6.5375
2025-11-21,26068.150390625,6602.990234375,88.69219970703125,4.06,6.5375
2025-11-24,25959.5,6705.1201171875,89.63400268554688,4.04,6.5375
2025-11-25,25884.80078125,6765.8798828125,89.14779663085938,4.01,6.5375
2025-11-26,26205.30078125,6812.60986328125,89.15059661865234,4.0,6.5375
2025-11-27,26215.55078125,6812.60986328125,89.16300201416016,4.0,6.5375
2025-11-28,26202.94921875,6849.08984375,89.36479949951172,4.02,6.5375
2025-12-01,26175.75,6812.6298828125,89.3499984741211,4.09,6.6325
2025-12-02,26032.19921875,6829.3701171875,89.61270141601562,4.09,6.6325
2025-12-03,25986.0,6849.72021484375,89.91719818115234,4.06,6.6325
2025-12-04,26033.75,6857.1201171875,90.17050170898438,4.11,6.6325
2025-12-05,26186.44921875,6870.39990234375,89.8364028930664,4.14,6.6325
2025-12-08,25960.55078125,6846.509765625,89.93800354003906,4.17,6.6325
2025-12-09,25839.650390625,6840.509765625,90.12999725341797,4.18,6.6325
2025-12-10,25758.0,6886.68017578125,89.91690063476562,4.13,6.6325
2025-12-11,25898.55078125,6901.0,89.79299926757812,4.14,6.6325
2025-12-12,26046.94921875,6827.41015625,90.25299835205078,4.19,6.6325
2025-12-15,26027.30078125,6816.509765625,90.5770034790039,4.18,6.6325
2025-12-16,25860.099609375,6800.259765625,90.77690124511719,4.15,6.6325
2025-12-17,25818.55078125,6721.43017578125,90.94889831542969,4.16,6.6325
2025-12-18,25815.55078125,6774.759765625,90.4136962890625,4.12,6.6325
2025-12-19,25966.400390625,6834.5,90.25579833984375,4.16,6.6325
2025-12-22,26172.400390625,6878.490234375,89.56999969482422,4.17,6.6325
2025-12-23,26177.150390625,6909.7900390625,89.60389709472656,4.18,6.6325
2025-12-24,26142.099609375,6932.0498046875,89.50789642333984,4.15,6.6325
2025-12-25,26142.099609375,6932.0498046875,89.50789642333984,4.15,6.6325
2025-12-26,26042.30078125,6929.93994140625,90.10590362548828,4.14,6.6325
2025-12-29,25942.099609375,6905.740234375,89.82929992675781,4.12,6.6325
2025-12-30,25938.849609375,6896.240234375,89.9000015258789,4.14,6.6325
2025-12-31,26129.599609375,6845.5,89.76940155029297,4.18,6.6325
2026-01-01,26146.55078125,6845.5,89.76940155029297,4.18,6.732
2026-01-02,26328.55078125,6858.47021484375,89.96189880371094,4.19,6.732
2026-01-05,26250.30078125,6902.0498046875,90.00700378417969,4.17,6.732
2026-01-06,26178.69921875,6944.81982421875,90.23300170898438,4.18,6.732
2026-01-07,26140.75,6920.93017578125,90.16609954833984,4.15,6.732
2026-01-08,25876.849609375,6921.4599609375,89.8644027709961,4.19,6.732
2026-01-09,25683.30078125,6966.27978515625,89.90540313720703,4.18,6.732
2026-01-12,25790.25,6977.27001953125,90.23600006103516,4.19,6.732
2026-01-13,25732.30078125,6963.740234375,90.13269805908203,4.18,6.732
2026-01-14,25665.599609375,6926.60009765625,90.27300262451172,4.15,6.732
2026-01-15,25665.599609375,6944.47021484375,90.18319702148438,4.17,6.732
2026-01-16,25694.349609375,6940.009765625,90.36160278320312,4.24,6.732
2026-01-19,25585.5,6940.009765625,90.7020034790039,4.24,6.732
2026-01-20,25232.5,6796.85986328125,90.90450286865234,4.3,6.732
2026-01-21,25157.5,6875.6201171875,91.11840057373047,4.26,6.732
2026-01-22,25289.900390625,6913.35009765625,91.53690338134766,4.26,6.732
2026-01-23,25048.650390625,6915.60986328125,91.55829620361328,4.24,6.732
2026-01-26,25048.650390625,6950.22998046875,91.5009994506836,4.22,6.732
2026-01-27,25175.400390625,6978.60009765625,91.71309661865234,4.24,6.732
2026-01-28,25342.75,6978.02978515625,91.5343017578125,4.26,6.732
2026-01-29,25418.900390625,6969.009765625,92.04080200195312,4.24,6.732
2026-01-30,25320.650390625,6939.02978515625,91.78189849853516,4.26,6.732
2026-02-02,25088.400390625,6976.43994140625,91.68699645996094,4.29,6.78333333333333
2026-02-03,25727.55078125,6917.81005859375,90.24559783935547,4.28,6.78333333333333
2026-02-04,25776.0,6882.72021484375,90.42289733886719,4.29,6.78333333333333
2026-02-05,25642.80078125,6798.39990234375,90.125,4.21,6.78333333333333
2026-02-06,25693.69921875,6932.2998046875,90.3147964477539,4.22,6.78333333333333
2026-02-09,25867.30078125,6964.81982421875,90.58799743652344,4.22,6.78333333333333
2026-02-10,25935.150390625,6941.81005859375,90.82279968261719,4.16,6.78333333333333
2026-02-11,25953.849609375,6941.47021484375,90.58789825439453,4.18,6.78333333333333
2026-02-12,25807.19921875,6832.759765625,90.73570251464844,4.09,6.78333333333333
2026-02-13,25471.099609375,6836.169921875,90.56410217285156,4.04,6.78333333333333
2026-02-16,25682.75,6836.169921875,90.57119750976562,4.04,6.78333333333333
2026-02-17,25725.400390625,6843.22021484375,90.78299713134766,4.05,6.78333333333333
2026-02-18,25819.349609375,6881.31005859375,90.6261978149414,4.09,6.78333333333333
2026-02-19,25454.349609375,6861.89013671875,90.79350280761719,4.08,6.78333333333333
2026-02-20,25571.25,6909.509765625,91.04109954833984,4.08,6.78333333333333
2026-02-23,25713.0,6837.75,90.72660064697266,4.03,6.78333333333333
2026-02-24,25424.650390625,6890.06982421875,91.02010345458984,4.04,6.78333333333333
2026-02-25,25482.5,6946.1298828125,90.91799926757812,4.05,6.78333333333333
2026-02-26,25496.55078125,6908.85986328125,90.95099639892578,4.02,6.78333333333333
2026-02-27,25178.650390625,6878.8798828125,91.00740051269531,3.97,6.78333333333333
2026-03-02,24865.69921875,6881.6201171875,91.07959747314453,4.05,6.78333333333333
2026-03-03,24865.69921875,6816.6298828125,91.56340026855469,4.06,6.78333333333333
2026-03-04,24480.5,6869.5,92.00859832763672,4.09,6.78333333333333
2026-03-05,24765.900390625,6830.7099609375,92.12300109863281,4.13,6.78333333333333
2026-03-06,24450.44921875,6740.02001953125,91.78690338134766,4.15,6.78333333333333
2026-03-09,24028.05078125,6795.990234375,91.93620300292969,4.12,6.78333333333333
2026-03-10,24261.599609375,6781.47998046875,91.220703125,4.15,6.78333333333333
2026-03-11,23866.849609375,6775.7998046875,92.16510009765625,4.21,6.78333333333333
2026-03-12,23639.150390625,6672.6201171875,92.22879791259766,4.27,6.78333333333333
2026-03-13,23151.099609375,6632.18994140625,92.38990020751953,4.28,6.78333333333333
2026-03-16,23408.80078125,6699.3798828125,92.5635986328125,4.23,6.78333333333333
2026-03-17,23581.150390625,6716.08984375,92.28269958496094,4.2,6.78333333333333
2026-03-18,23777.80078125,6624.7001953125,92.39129638671875,4.26,6.78333333333333
2026-03-19,23002.150390625,6606.490234375,93.24659729003906,4.25,6.78333333333333
2026-03-20,23114.5,6506.47998046875,93.6520004272461,4.25,6.78333333333333
